Ministry,Revenue_Cr,Capital_Cr,Total_Cr,Year,Grand_Total_Cr,Share_of_Budget_Pct
AYUSH,1425.35,3.3,1428.65,2017-18,2146734.78,0.07
AYUSH,1602.67,23.7,1626.37,2018-19,2442213.3,0.07
AYUSH,1939.55,0.21,1939.76,2019-20,2786349.45,0.07
AYUSH,2122.08,0.0,2122.08,2020-21,3042230.09,0.07
AYUSH,2970.3,0.0,2970.3,2021-22,3483235.63,0.09
AYUSH,3050.0,0.0,3050.0,2022-23,3944908.67,0.08
AYUSH,3641.56,5.94,3647.5,2023-24,4503097.45,0.08
AYUSH,3703.74,8.75,3712.49,2024-25,4820512.08,0.08
AYUSH,3937.45,55.45,3992.9,2025-26,5065345.04,0.08
AYUSH,4381.86,27.07,4408.93,2026-27,5347314.81,0.08
Agriculture & Farmers Welfare,50903.05,122.95,51026.0,2017-18,2146734.78,2.38
Agriculture & Farmers Welfare,57442.41,157.59,57600.0,2018-19,2442213.3,2.36
Agriculture & Farmers Welfare,138529.27,34.7,138563.97,2019-20,2786349.45,4.97
Agriculture & Farmers Welfare,142712.03,50.32,142762.35,2020-21,3042230.09,4.69
Agriculture & Farmers Welfare,131475.19,56.0,131531.19,2021-22,3483235.63,3.78
Agriculture & Farmers Welfare,132474.37,39.25,132513.62,2022-23,3944908.67,3.36
Agriculture & Farmers Welfare,124982.96,52.83,125035.79,2023-24,4503097.45,2.78
Agriculture & Farmers Welfare,132367.72,102.14,132469.86,2024-25,4820512.08,2.75
Agriculture & Farmers Welfare,137664.35,92.2,137756.55,2025-26,5065345.04,2.72
Agriculture & Farmers Welfare,140416.57,112.21,140528.78,2026-27,5347314.81,2.63
Atomic Energy,7264.02,5197.18,12461.2,2017-18,2146734.78,0.58
Atomic Energy,7834.38,6137.03,13971.41,2018-19,2442213.3,0.57
Atomic Energy,8818.95,8106.56,16925.51,2019-20,2786349.45,0.61
Atomic Energy,8884.44,9344.5,18228.94,2020-21,3042230.09,0.6
Atomic Energy,8389.12,9875.77,18264.89,2021-22,3483235.63,0.52
Atomic Energy,8440.34,14283.24,22723.58,2022-23,3944908.67,0.58
Atomic Energy,9096.99,15981.5,25078.49,2023-24,4503097.45,0.56
Atomic Energy,11108.19,13860.79,24968.98,2024-25,4820512.08,0.52
Atomic Energy,12071.46,11977.64,24049.1,2025-26,5065345.04,0.47
Atomic Energy,14157.51,9966.41,24123.92,2026-27,5347314.81,0.45
Chemicals & Fertilisers,70553.74,24.71,70578.45,2017-18,2146734.78,3.29
Chemicals & Fertilisers,70586.47,0.1,70586.57,2018-19,2442213.3,2.89
